0,1,2,3,4,5,6,7,8
False,False,False,256,32,0.1,50,"[0.0005007841973565519, 0.022378208115696907]","[0.0010951394215226173, 0.033092889934778214]"
False,False,False,256,32,0.2,100,"[0.000694441027007997, 0.026352249085903168]","[0.001518538105301559, 0.03896842524409294]"
False,False,False,64,64,0.1,100,"[0.0007621883414685726, 0.027607759460806847]","[0.0018667607801035047, 0.04320602864027023]"
False,False,False,128,32,0.1,100,"[0.0007833960116840899, 0.027989212423563004]","[0.0014183762250468135, 0.03766133636236191]"
False,False,False,256,64,0.2,100,"[0.000797417014837265, 0.028238574042916298]","[0.0019215260399505496, 0.04383521527051926]"
False,False,False,64,32,0.2,50,"[0.0008075158693827689, 0.028416823595762253]","[0.002096285345032811, 0.04578520730137825]"
False,False,False,256,64,0.1,50,"[0.0008282018825411797, 0.028778497129678726]","[0.0018538142321631312, 0.0430559441447258]"
False,False,False,128,32,0.1,50,"[0.000845606904476881, 0.029079321771860123]","[0.0018796160584315658, 0.04335453733801842]"
False,False,False,128,64,0.2,100,"[0.0008516605012118816, 0.029183223843574524]","[0.0019993295427411795, 0.044713862240314484]"
False,False,False,128,64,0.1,100,"[0.0008699871250428259, 0.029495544731616974]","[0.0021303740795701742, 0.04615597426891327]"
False,False,False,64,32,0.1,50,"[0.0008965838351286948, 0.029943009838461876]","[0.0028003184124827385, 0.05291803553700447]"
False,False,False,64,32,0.1,100,"[0.0009103345801122487, 0.030171751976013184]","[0.0022369958460330963, 0.04729688912630081]"
False,False,False,64,64,0.1,50,"[0.0009226420661434531, 0.030375024303793907]","[0.002501631621271372, 0.050016313791275024]"
False,False,False,256,64,0.1,100,"[0.0009243710082955658, 0.030403470620512962]","[0.0022102349903434515, 0.047013137489557266]"
False,False,False,256,64,0.2,50,"[0.0009308644803240895, 0.0305100716650486]","[0.002206240314990282, 0.046970631927251816]"
False,False,False,256,32,0.1,100,"[0.0009509837836958468, 0.030838025733828545]","[0.0024421385023742914, 0.049417998641729355]"
False,False,False,64,32,0.2,100,"[0.000993185443803668, 0.03151484578847885]","[0.002939000027254224, 0.0542125441133976]"
False,False,False,128,64,0.1,50,"[0.0010516189504414797, 0.03242867439985275]","[0.001822624122723937, 0.04269220307469368]"
False,False,False,64,64,0.2,100,"[0.001088637625798583, 0.03299450874328613]","[0.001863015117123723, 0.04316265881061554]"
False,False,False,64,64,0.2,50,"[0.0011261404724791646, 0.033558014780282974]","[0.002554127015173435, 0.05053837224841118]"
False,False,False,128,64,0.2,50,"[0.0013431075494736433, 0.036648429930210114]","[0.002676508156582713, 0.05173498019576073]"
False,False,False,128,32,0.2,50,"[0.0013667908497154713, 0.03697013482451439]","[0.002439850941300392, 0.049394845962524414]"
False,False,False,256,32,0.2,50,"[0.00136838189791888, 0.03699164465069771]","[0.0025378288701176643, 0.05037686973810196]"
False,False,False,128,32,0.2,100,"[0.0014547881437465549, 0.03814168646931648]","[0.005600705277174711, 0.07483786344528198]"
